SecCode;ChartId;Interval;isLong;isShort;bars;ratioFactor;kstd;ATR_factor
FEES;testGraphFEES;1440;1;1;27;0.7;1.8;3
ALRS;testGraphALRS;1440;1;1;27;0.7;1.8;3
MOEX;testGraphMOEX;1440;1;1;27;0.7;1.8;3
SBER;testGraphSBER;1440;1;1;27;0.7;1.8;3
GMKN;testGraphGMKN;1440;1;1;27;0.7;1.8;3
CHMF;testGraphCHMF;240;1;1;27;0.7;1.8;3
CHMF;testGraphCHMF;1440;1;1;27;0.7;1.8;3
AFLT;testGraphAFLT;15;1;1;27;0.7;1.8;3
AFLT;testGraphAFLT;1440;1;1;27;0.7;1.8;3
MAGN;testGraphMAGN;15;1;1;27;0.7;1.8;3
MAGN;testGraphMAGN;60;1;1;27;0.7;1.8;3
MAGN;testGraphMAGN;240;1;1;27;0.7;1.8;3
MAGN;testGraphMAGN;1440;1;1;27;0.7;1.8;3
